OrderNumber,SalesChannel,WarehouseCode,ProcuredDate,OrderDate,ShipDate,DeliveryDate,CurrencyCode,_SalesTeamID,SalesTeam,_CustomerID,Customer,Sales_Region,_StoreID,_ProductID,Product,OrderQuantity,DiscountApplied,UnitPrice,UnitCost,CityName,County,StateCode,State,Type,Latitude,Longitude,AreaCode,Population,HouseholdIncome,MedianIncome,LandArea,WaterArea,TimeZone
SO - 000577,Wholesale,WARE-PUJ1005,4/10/2018,7/25/2018,8/17/2018,8/20/2018,USD,25,Patrick Graham,3,"Elorac, Corp",South,266,22,Wine Storage,4.000000,0.400000,1011.700000,667.72,Manhattan,New York County,NY,New York,Borough,40.728330,-73.994170,212.000000,1644518.000000,738644.000000,47030.000000,59100000.000000,28000000.000000,America/New York
SO - 000578,In-Store,WARE-UHY1004,4/10/2018,7/25/2018,8/22/2018,8/25/2018,USD,4,Chris Armstrong,16,"3LAB, Ltd",Northeast,242,2,Photo Frames,6.000000,0.200000,1862.600000,1247.94,Edison,Middlesex County,NJ,New Jersey,Township,40.503990,-74.349410,848.000000,102701.000000,35198.000000,90515.000000,77862691.000000,1630832.000000,America/New York
SO - 000579,Online,WARE-NMK1003,4/10/2018,7/25/2018,7/27/2018,8/4/2018,USD,17,Frank Brown,31,Uriel Group,Northeast,150,12,Dining Furniture,6.000000,0.100000,1246.200000,660.49,Boise City,Ada County,ID,Idaho,City,43.613500,-116.203450,208.000000,218281.000000,86916.000000,50323.000000,212601021.000000,1845301.000000,America/Boise
SO - 000580,Distributor,WARE-MKL1006,4/10/2018,7/26/2018,8/2/2018,8/6/2018,USD,24,Roy Rice,26,Mylan Corp,Midwest,349,30,Wall Coverings,1.000000,0.100000,1688.400000,1215.65,Alexandria,Alexandria city,VA,Virginia,City,38.804840,-77.046920,571.000000,153511.000000,66879.000000,89134.000000,38977688.000000,1127171.000000,America/New York
SO - 000581,In-Store,WARE-UHY1004,4/10/2018,7/26/2018,8/4/2018,8/11/2018,USD,12,Carl Nguyen,30,S.S.S. Group,Midwest,237,11,Ornaments,8.000000,0.100000,5916.100000,4673.72,Winston-Salem,Forsyth County,NC,North Carolina,City,36.099860,-80.244220,336.000000,241218.000000,93267.000000,39882.000000,343173025.000000,3173027.000000,America/New York
SO - 000582,Online,WARE-NMK1003,4/10/2018,7/26/2018,8/20/2018,8/29/2018,USD,13,Todd Roberts,17,Pure Group,West,190,13,Bakeware,3.000000,0.100000,5132.200000,2771.39,Warren,Marion County,IN,Indiana,Township,39.775140,-86.017180,317.000000,103365.000000,38889.000000,41504.000000,125067149.000000,209265.000000,America/Indiana/Indianapolis
SO - 000583,In-Store,WARE-NBV1002,4/10/2018,7/26/2018,8/2/2018,8/3/2018,USD,7,Shawn Cook,46,U.S. Ltd,Midwest,82,7,Dinnerware,2.000000,0.050000,1118.900000,839.18,Temecula,Riverside County,CA,California,City,33.493640,-117.148360,951.000000,112011.000000,32835.000000,79925.000000,96518165.000000,30591.000000,America/Los Angeles
SO - 000584,In-Store,WARE-UHY1004,4/10/2018,7/26/2018,8/9/2018,8/17/2018,USD,11,Joshua Little,39,Victory Ltd,South,214,10,Blankets,6.000000,0.150000,5835.700000,3968.28,Detroit,Wayne County,MI,Michigan,City,42.331430,-83.045750,313.000000,677116.000000,255740.000000,25764.000000,359360867.000000,10667144.000000,America/Detroit
SO - 000585,Distributor,WARE-PUJ1005,4/10/2018,7/26/2018,8/3/2018,8/5/2018,USD,23,Douglas Tucker,29,"Apotheca, Ltd",Midwest,275,41,Collectibles,5.000000,0.200000,6036.700000,3139.08,Syracuse,Onondaga County,NY,New York,City,43.048120,-76.147420,315.000000,144142.000000,54781.000000,31881.000000,64867329.000000,1463257.000000,America/New York
SO - 000586,Online,WARE-NMK1003,4/10/2018,7/26/2018,8/15/2018,8/16/2018,USD,12,Carl Nguyen,22,Capweld ,Midwest,168,29,Pendants,7.000000,0.400000,1031.800000,825.44,Niles (Township),Cook County,IL,Illinois,Township,42.032090,-87.757780,847.000000,106229.000000,37478.000000,69857.000000,55058020.000000,0.000000,America/Chicago
SO - 000587,Wholesale,WARE-MKL1006,4/10/2018,7/26/2018,8/5/2018,8/7/2018,USD,25,Patrick Graham,37,AuroMedics Corp,South,332,37,Platters,5.000000,0.100000,5956.300000,4407.66,Midland,Martin County/Midland County,TX,Texas,City,32.024640,-102.113470,432.000000,132950.000000,43214.000000,69173.000000,192622240.000000,460027.000000,America/Chicago
SO - 000588,Distributor,WARE-NMK1003,4/10/2018,7/26/2018,8/21/2018,8/27/2018,USD,22,Joe Price,9,Ei ,Northeast,104,35,Table Linens,7.000000,0.200000,3932.900000,2989.00,Bridgeport (Town),Fairfield County,CT,Connecticut,Town,41.187390,-73.195760,203.000000,147629.000000,50367.000000,41801.000000,41591056.000000,8721419.000000,America/New York
SO - 000589,Distributor,WARE-UHY1004,4/10/2018,7/26/2018,8/1/2018,8/11/2018,USD,21,Samuel Fowler,3,"Elorac, Corp",Midwest,245,19,Vanities,5.000000,0.200000,5889.300000,4416.98,Newark,Essex County,NJ,New Jersey,City,40.735660,-74.172370,973.000000,281944.000000,92675.000000,33139.000000,62531085.000000,4509710.000000,America/New York
SO - 000590,Distributor,WARE-PUJ1005,4/10/2018,7/26/2018,8/1/2018,8/2/2018,USD,23,Douglas Tucker,13,Ole Group,Midwest,327,45,Home Fragrances,8.000000,0.075000,2458.900000,1647.46,Lewisville,Denton County/Dallas County,TX,Texas,City,33.046550,-96.981830,972.000000,104039.000000,38430.000000,57267.000000,94986734.000000,15721445.000000,America/Chicago
SO - 000591,Online,WARE-NMK1003,4/10/2018,7/26/2018,8/21/2018,8/25/2018,USD,20,Anthony Torres,38,Ascend Ltd,West,104,8,Cocktail Glasses,8.000000,0.075000,3912.800000,2034.66,Bridgeport (Town),Fairfield County,CT,Connecticut,Town,41.187390,-73.195760,203.000000,147629.000000,50367.000000,41801.000000,41591056.000000,8721419.000000,America/New York
SO - 000592,Distributor,WARE-NMK1003,4/10/2018,7/27/2018,8/17/2018,8/20/2018,USD,23,Douglas Tucker,48,"Fenwal, Corp",Midwest,136,29,Pendants,2.000000,0.075000,5668.200000,3570.97,Tallahassee,Leon County,FL,Florida,City,30.438260,-84.280730,850.000000,189907.000000,74388.000000,39681.000000,260089732.000000,8300437.000000,America/New York
SO - 000593,Online,WARE-XYS1001,4/10/2018,7/27/2018,8/13/2018,8/19/2018,USD,16,Anthony Berry,18,Eminence Corp,West,6,46,Sculptures,1.000000,0.150000,5547.600000,4216.18,Chandler,Maricopa County,AZ,Arizona,City,33.306160,-111.841250,480.000000,260828.000000,88973.000000,72695.000000,168153308.000000,260378.000000,America/Phoenix
SO - 000594,Distributor,WARE-NMK1003,4/10/2018,7/28/2018,8/1/2018,8/2/2018,USD,25,Patrick Graham,35,Amylin Group,South,109,45,Home Fragrances,1.000000,0.150000,201.000000,96.48,Stamford,Fairfield County,CT,Connecticut,City,41.053430,-73.538730,203.000000,128874.000000,46974.000000,79359.000000,97430571.000000,37323740.000000,America/New York
SO - 000595,In-Store,WARE-MKL1006,4/10/2018,7/28/2018,8/10/2018,8/16/2018,USD,1,Adam Hernandez,40,Select ,Northeast,362,6,Computers,6.000000,0.075000,247.900000,198.32,Spokane,Spokane County,WA,Washington,City,47.658780,-117.426050,509.000000,213272.000000,87623.000000,42386.000000,178034003.000000,1984449.000000,America/Los Angeles
SO - 000596,In-Store,WARE-PUJ1005,4/10/2018,7/28/2018,8/9/2018,8/18/2018,USD,12,Carl Nguyen,2,WakeFern ,Midwest,280,45,Home Fragrances,1.000000,0.050000,3859.200000,3125.95,Cleveland,Cuyahoga County,OH,Ohio,City,41.499500,-81.695410,216.000000,388072.000000,167100.000000,26150.000000,201255242.000000,12332080.000000,America/New York
SO - 000597,In-Store,WARE-UHY1004,4/10/2018,7/28/2018,8/16/2018,8/25/2018,USD,8,George Lewis,40,Select ,West,214,21,Floral,3.000000,0.050000,5487.300000,3127.76,Detroit,Wayne County,MI,Michigan,City,42.331430,-83.045750,313.000000,677116.000000,255740.000000,25764.000000,359360867.000000,10667144.000000,America/Detroit
SO - 000598,In-Store,WARE-UHY1004,4/10/2018,7/28/2018,8/10/2018,8/11/2018,USD,7,Shawn Cook,25,Prasco Group,Midwest,223,7,Dinnerware,6.000000,0.150000,1809.000000,1157.76,Independence,Jackson County/Clay County,MO,Missouri,City,39.085470,-94.352100,816.000000,117255.000000,48313.000000,43472.000000,201595640.000000,1162419.000000,America/Chicago
SO - 000599,In-Store,WARE-NMK1003,4/10/2018,7/29/2018,8/16/2018,8/18/2018,USD,12,Carl Nguyen,11,Apollo Ltd,Midwest,99,46,Sculptures,7.000000,0.400000,2405.300000,1731.82,Lakewood,Jefferson County,CO,Colorado,City,39.704710,-105.081370,303.000000,152597.000000,63159.000000,56954.000000,111039036.000000,3056315.000000,America/Denver
SO - 000600,Wholesale,WARE-NMK1003,4/10/2018,7/29/2018,8/19/2018,8/24/2018,USD,28,Carlos Miller,31,Uriel Group,West,187,20,Bar Tools,1.000000,0.150000,790.600000,672.01,North,Lake County,IN,Indiana,Township,41.613290,-87.470850,219.000000,157105.000000,58240.000000,44334.000000,137725287.000000,14822486.000000,America/Chicago
SO - 000601,Online,WARE-PUJ1005,4/10/2018,7/29/2018,8/26/2018,8/30/2018,USD,15,Roger Alexander,46,U.S. Ltd,Midwest,292,14,Mirrors,2.000000,0.100000,3202.600000,2177.77,Salem,Marion County/Polk County,OR,Oregon,City,44.923710,-123.023190,503.000000,164549.000000,57729.000000,47191.000000,125786966.000000,1433926.000000,America/Los Angeles
SO - 000602,Distributor,WARE-PUJ1005,4/10/2018,7/29/2018,8/26/2018,9/2/2018,USD,21,Samuel Fowler,48,"Fenwal, Corp",Midwest,315,8,Cocktail Glasses,5.000000,0.200000,1058.600000,645.75,Corpus Christi,Aransas County/Kleberg County/Nueces County/San Patricio County,TX,Texas,City,27.754250,-97.173390,361.000000,324074.000000,114817.000000,50658.000000,452109961.000000,852118618.000000,America/Chicago
SO - 000603,Distributor,WARE-XYS1001,4/10/2018,7/29/2018,8/26/2018,9/1/2018,USD,20,Anthony Torres,33,Trigen ,West,35,26,Candles,8.000000,0.400000,1768.800000,778.27,Fontana,San Bernardino County,CA,California,City,34.092230,-117.435050,909.000000,207460.000000,49975.000000,64824.000000,111418803.000000,0.000000,America/Los Angeles
SO - 000604,In-Store,WARE-NMK1003,4/10/2018,7/29/2018,8/25/2018,9/4/2018,USD,2,Keith Griffin,1,Avon Corp,Northeast,199,2,Photo Frames,5.000000,0.100000,971.500000,534.33,Lexington-Fayette,Fayette County,KY,Kentucky,Urban County ,38.049800,-84.458550,859.000000,314488.000000,125752.000000,49778.000000,734642357.000000,4922241.000000,America/New York
SO - 000605,Online,WARE-NMK1003,4/10/2018,7/29/2018,8/20/2018,8/24/2018,USD,19,Nicholas Cunningham,34,OUR Ltd,South,153,34,Bedroom Furniture,4.000000,0.100000,938.000000,478.38,Bloomingdale (Township),DuPage County,IL,Illinois,Township,41.945630,-88.084620,630.000000,113024.000000,40097.000000,68474.000000,88284784.000000,3206299.000000,America/Chicago
SO - 000606,Online,WARE-XYS1001,4/10/2018,7/29/2018,8/24/2018,8/25/2018,USD,16,Anthony Berry,49,Bare ,West,27,20,Bar Tools,5.000000,0.200000,958.100000,756.90,Daly City,San Mateo County,CA,California,City,37.705830,-122.461940,650.000000,106562.000000,31137.000000,74449.000000,19788422.000000,0.000000,America/Los Angeles
SO - 000607,Online,WARE-NMK1003,4/10/2018,7/29/2018,8/11/2018,8/14/2018,USD,15,Roger Alexander,1,Avon Corp,Midwest,166,23,Accessories,8.000000,0.050000,3705.100000,2111.91,Naperville,Will County/DuPage County,IL,Illinois,City,41.749170,-88.162020,630.000000,147100.000000,50073.000000,109468.000000,100155901.000000,1471160.000000,America/Chicago
SO - 000608,Wholesale,WARE-UHY1004,4/10/2018,7/30/2018,8/10/2018,8/13/2018,USD,25,Patrick Graham,48,"Fenwal, Corp",South,257,20,Bar Tools,8.000000,0.075000,1025.100000,686.82,Sunrise Manor,Clark County,NV,Nevada,CDP,36.211080,-115.073060,702.000000,187647.000000,60366.000000,39586.000000,86444651.000000,0.000000,America/Los Angeles
SO - 000609,Online,WARE-NMK1003,4/10/2018,7/30/2018,8/16/2018,8/20/2018,USD,16,Anthony Berry,4,ETUDE Ltd,West,184,5,Bathroom Furniture,7.000000,0.075000,2592.900000,1711.31,Fort Wayne,Allen County,IN,Indiana,City,41.130600,-85.128860,260.000000,260326.000000,102273.000000,43774.000000,286488211.000000,549748.000000,America/Indiana/Indianapolis
SO - 000610,Wholesale,WARE-NMK1003,4/10/2018,7/30/2018,8/26/2018,9/1/2018,USD,25,Patrick Graham,15,Rochester Ltd,South,150,39,Floor Lamps,1.000000,0.150000,3865.900000,3054.06,Boise City,Ada County,ID,Idaho,City,43.613500,-116.203450,208.000000,218281.000000,86916.000000,50323.000000,212601021.000000,1845301.000000,America/Boise
SO - 000611,Distributor,WARE-MKL1006,4/10/2018,7/30/2018,8/22/2018,9/1/2018,USD,22,Joe Price,30,S.S.S. Group,Northeast,347,36,Clocks,8.000000,0.050000,5634.700000,4226.03,West Jordan,Salt Lake County,UT,Utah,City,40.609670,-111.939100,385.000000,111946.000000,31742.000000,68442.000000,83717638.000000,0.000000,America/Denver
SO - 000612,Distributor,WARE-MKL1006,4/10/2018,7/30/2018,8/7/2018,8/10/2018,USD,23,Douglas Tucker,41,Weimei Corp,Midwest,362,15,Outdoor Furniture,3.000000,0.050000,971.500000,621.76,Spokane,Spokane County,WA,Washington,City,47.658780,-117.426050,509.000000,213272.000000,87623.000000,42386.000000,178034003.000000,1984449.000000,America/Los Angeles
SO - 000613,In-Store,WARE-UHY1004,4/10/2018,7/31/2018,8/24/2018,8/30/2018,USD,5,Stephen Payne,3,"Elorac, Corp",South,218,28,Phones,4.000000,0.150000,1051.900000,694.25,Warren,Macomb County,MI,Michigan,City,42.499820,-83.005490,586.000000,135358.000000,53493.000000,43523.000000,89052398.000000,191291.000000,America/Detroit
SO - 000614,In-Store,WARE-NMK1003,4/10/2018,7/31/2018,8/19/2018,8/25/2018,USD,12,Carl Nguyen,3,"Elorac, Corp",Midwest,196,1,Cookware,7.000000,0.075000,1051.900000,683.74,Overland Park,Johnson County,KS,Kansas,City,38.982230,-94.670790,913.000000,186515.000000,74830.000000,72463.000000,194562941.000000,1309517.000000,America/Chicago
SO - 000615,Online,WARE-UHY1004,4/10/2018,7/31/2018,8/23/2018,9/2/2018,USD,17,Frank Brown,29,"Apotheca, Ltd",Northeast,226,17,Furniture Cushions,2.000000,0.200000,1139.000000,854.25,St. Louis,St. Louis city,MO,Missouri,City,38.627270,-90.197890,314.000000,315685.000000,139555.000000,35599.000000,160458044.000000,10670040.000000,America/Chicago
SO - 000616,In-Store,WARE-XYS1001,4/10/2018,7/31/2018,8/6/2018,8/14/2018,USD,10,Jonathan Hawkins,16,"3LAB, Ltd",West,33,10,Blankets,8.000000,0.075000,5849.100000,3041.53,Escondido,San Diego County,CA,California,City,33.119210,-117.086420,760.000000,151451.000000,45041.000000,50899.000000,96015101.000000,455887.000000,America/Los Angeles
SO - 000617,Online,WARE-NBV1002,4/10/2018,7/31/2018,8/4/2018,8/11/2018,USD,16,Anthony Berry,21,Ohio ,West,68,2,Photo Frames,4.000000,0.075000,2264.600000,1222.88,San Bernardino,San Bernardino County,CA,California,City,34.108340,-117.289770,909.000000,216108.000000,57580.000000,37047.000000,159326695.000000,1126214.000000,America/Los Angeles
SO - 000618,In-Store,WARE-NMK1003,4/10/2018,7/31/2018,8/18/2018,8/25/2018,USD,11,Joshua Little,26,Mylan Corp,South,105,26,Candles,7.000000,0.075000,1125.600000,889.22,Hartford,Hartford County,CT,Connecticut,City,41.763710,-72.685090,959.000000,124006.000000,45239.000000,30630.000000,45016120.000000,1748078.000000,America/New York
SO - 000619,Online,WARE-XYS1001,4/10/2018,7/31/2018,8/11/2018,8/15/2018,USD,17,Frank Brown,37,AuroMedics Corp,Northeast,7,20,Bar Tools,7.000000,0.050000,1078.700000,755.09,Gilbert,Maricopa County,AZ,Arizona,Town,33.352830,-111.789030,480.000000,247542.000000,73617.000000,82424.000000,176124143.000000,510475.000000,America/Phoenix
SO - 000620,Wholesale,WARE-XYS1001,4/10/2018,7/31/2018,8/14/2018,8/22/2018,USD,28,Carlos Miller,23,E. Ltd,West,57,16,Stemware,4.000000,0.150000,2405.300000,1635.60,Oxnard,Ventura County,CA,California,City,34.197500,-119.177050,805.000000,207254.000000,50815.000000,60621.000000,69672461.000000,31875278.000000,America/Los Angeles
SO - 000621,In-Store,WARE-NMK1003,4/10/2018,7/31/2018,8/28/2018,9/4/2018,USD,7,Shawn Cook,17,Pure Group,Midwest,155,4,Serveware,1.000000,0.050000,1072.000000,707.52,Capital,Sangamon County,IL,Illinois,Township,39.791060,-89.644570,217.000000,116358.000000,50476.000000,49925.000000,154319522.000000,16272442.000000,America/Chicago
SO - 000622,Distributor,WARE-NMK1003,4/10/2018,8/1/2018,8/21/2018,8/22/2018,USD,23,Douglas Tucker,4,ETUDE Ltd,Midwest,202,26,Candles,1.000000,0.300000,5808.900000,3369.16,Lafayette,Lafayette Parish,LA,Louisiana,City,30.224090,-92.019840,337.000000,127657.000000,50025.000000,46517.000000,139369271.000000,259576.000000,America/Chicago
SO - 000623,In-Store,WARE-UHY1004,4/10/2018,8/1/2018,8/20/2018,8/23/2018,USD,1,Adam Hernandez,21,Ohio ,Northeast,205,19,Vanities,6.000000,0.200000,3926.200000,1845.31,Shreveport,Caddo Parish/Bossier Parish,LA,Louisiana,City,32.466880,-93.792190,318.000000,197204.000000,77500.000000,38583.000000,277484105.000000,39395075.000000,America/Chicago
SO - 000624,Distributor,WARE-PUJ1005,4/10/2018,8/1/2018,8/7/2018,8/15/2018,USD,23,Douglas Tucker,29,"Apotheca, Ltd",Midwest,287,38,Wardrobes,8.000000,0.100000,201.000000,160.80,Tulsa,Rogers County/Wagoner County/Osage County/Tulsa County,OK,Oklahoma,City,36.127950,-95.902320,918.000000,403505.000000,164471.000000,42284.000000,509834953.000000,10955689.000000,America/Chicago
SO - 000625,Online,WARE-XYS1001,4/10/2018,8/1/2018,8/22/2018,8/29/2018,USD,20,Anthony Torres,39,Victory Ltd,West,16,27,Wreaths,1.000000,0.100000,1882.700000,1430.85,Anaheim,Orange County,CA,California,City,33.835290,-117.914500,657.000000,350742.000000,99670.000000,60752.000000,129438076.000000,2457142.000000,America/Los Angeles
SO - 000626,Wholesale,WARE-NMK1003,4/10/2018,8/1/2018,8/16/2018,8/24/2018,USD,25,Patrick Graham,30,S.S.S. Group,South,149,22,Wine Storage,6.000000,0.050000,2532.600000,1089.02,Des Moines,Warren County/Polk County,IA,Iowa,City,41.572590,-93.610240,515.000000,210330.000000,81717.000000,46290.000000,230329944.000000,4657227.000000,America/Chicago
SO - 000627,Online,WARE-XYS1001,4/10/2018,8/1/2018,8/5/2018,8/13/2018,USD,18,Shawn Wallace,33,Trigen ,South,22,31,Candleholders,8.000000,0.050000,207.700000,135.01,Chula Vista,San Diego County,CA,California,City,32.640000,-117.084170,619.000000,265757.000000,78066.000000,65185.000000,128544440.000000,6380135.000000,America/Los Angeles
SO - 000628,Online,WARE-NMK1003,4/10/2018,8/1/2018,8/24/2018,8/30/2018,USD,20,Anthony Torres,41,Weimei Corp,West,115,10,Blankets,6.000000,0.200000,241.200000,180.90,Cape Coral,Lee County,FL,Florida,City,26.562850,-81.949530,941.000000,175229.000000,58967.000000,50536.000000,273544395.000000,35010453.000000,America/New York
SO - 000629,In-Store,WARE-UHY1004,4/10/2018,8/1/2018,8/8/2018,8/18/2018,USD,3,Jerry Green,21,Ohio ,West,222,11,Ornaments,6.000000,0.075000,1152.400000,507.06,Columbia,Boone County,MO,Missouri,City,38.951710,-92.334070,573.000000,119108.000000,45024.000000,44907.000000,168320842.000000,689182.000000,America/Chicago
SO - 000630,Distributor,WARE-NMK1003,4/10/2018,8/2/2018,8/21/2018,8/28/2018,USD,20,Anthony Torres,40,Select ,West,190,14,Mirrors,5.000000,0.300000,3879.300000,2288.79,Warren,Marion County,IN,Indiana,Township,39.775140,-86.017180,317.000000,103365.000000,38889.000000,41504.000000,125067149.000000,209265.000000,America/Indiana/Indianapolis
SO - 000631,Online,WARE-UHY1004,4/10/2018,8/2/2018,8/18/2018,8/22/2018,USD,12,Carl Nguyen,37,AuroMedics Corp,Midwest,219,7,Dinnerware,4.000000,0.100000,3865.900000,3170.04,Minneapolis,Hennepin County,MN,Minnesota,City,44.979970,-93.263840,612.000000,410939.000000,168385.000000,51480.000000,139858340.000000,9027529.000000,America/Chicago
SO - 000632,Online,WARE-NMK1003,4/10/2018,8/2/2018,8/26/2018,9/3/2018,USD,19,Nicholas Cunningham,35,Amylin Group,South,121,6,Computers,6.000000,0.075000,1835.800000,1248.34,Hialeah,Miami-Dade County,FL,Florida,City,25.857600,-80.278110,305.000000,237069.000000,69219.000000,29249.000000,55623172.000000,3481216.000000,America/New York
SO - 000633,In-Store,WARE-MKL1006,4/10/2018,8/2/2018,8/20/2018,8/29/2018,USD,8,George Lewis,37,AuroMedics Corp,West,334,23,Accessories,5.000000,0.150000,234.500000,180.57,Pasadena,Harris County,TX,Texas,City,29.691060,-95.209100,832.000000,153784.000000,49256.000000,48004.000000,112645407.000000,3870729.000000,America/Chicago
SO - 000634,In-Store,WARE-PUJ1005,4/10/2018,8/2/2018,8/15/2018,8/22/2018,USD,7,Shawn Cook,10,21st Ltd,Midwest,283,34,Bedroom Furniture,2.000000,0.150000,757.100000,507.26,Toledo,Lucas County,OH,Ohio,City,41.663940,-83.555210,419.000000,279789.000000,117531.000000,33687.000000,209065315.000000,8887951.000000,America/New York
SO - 000635,Wholesale,WARE-UHY1004,4/10/2018,8/2/2018,8/20/2018,8/21/2018,USD,26,Donald Reynolds,39,Victory Ltd,South,212,25,TV and video,8.000000,0.050000,1005.000000,703.50,Columbia,Howard County,MD,Maryland,CDP,39.240380,-76.839420,410.000000,102116.000000,39893.000000,100849.000000,82691135.000000,667179.000000,America/New York
SO - 000636,In-Store,WARE-NMK1003,4/10/2018,8/3/2018,8/14/2018,8/20/2018,USD,10,Jonathan Hawkins,4,ETUDE Ltd,West,159,11,Ornaments,2.000000,0.050000,6391.800000,5113.44,Elgin (Township),Kane County,IL,Illinois,Township,42.026100,-88.318220,847.000000,104288.000000,33089.000000,63609.000000,82722594.000000,1676406.000000,America/Chicago
SO - 000637,In-Store,WARE-PUJ1005,4/10/2018,8/3/2018,8/11/2018,8/18/2018,USD,3,Jerry Green,13,Ole Group,West,269,31,Candleholders,8.000000,0.150000,2740.300000,1123.52,Oyster Bay,Nassau County,NY,New York,Town,40.800490,-73.510560,516.000000,298768.000000,98509.000000,112162.000000,268689279.000000,170041808.000000,America/New York
SO - 000638,Online,WARE-NBV1002,4/10/2018,8/3/2018,8/24/2018,8/26/2018,USD,13,Todd Roberts,48,"Fenwal, Corp",West,60,40,Rugs,3.000000,0.150000,924.600000,536.27,Pomona,Los Angeles County,CA,California,City,34.055290,-117.752280,909.000000,153266.000000,39378.000000,49186.000000,59446734.000000,26188.000000,America/Los Angeles
SO - 000639,In-Store,WARE-XYS1001,4/10/2018,8/3/2018,8/12/2018,8/15/2018,USD,11,Joshua Little,41,Weimei Corp,South,22,16,Stemware,5.000000,0.150000,1031.800000,505.58,Chula Vista,San Diego County,CA,California,City,32.640000,-117.084170,619.000000,265757.000000,78066.000000,65185.000000,128544440.000000,6380135.000000,America/Los Angeles
SO - 000640,Distributor,WARE-NMK1003,4/10/2018,8/3/2018,8/20/2018,8/27/2018,USD,25,Patrick Graham,11,Apollo Ltd,South,90,21,Floral,1.000000,0.200000,1098.800000,769.16,Arvada,Jefferson County/Adams County,CO,Colorado,City,39.833730,-105.150310,303.000000,115368.000000,44615.000000,69938.000000,100047257.000000,1882996.000000,America/Denver
SO - 000641,Wholesale,WARE-PUJ1005,4/10/2018,8/3/2018,8/5/2018,8/12/2018,USD,27,Shawn Torres,10,21st Ltd,Northeast,279,18,Basketball,3.000000,0.050000,1132.300000,713.35,Cincinnati,Hamilton County,OH,Ohio,City,39.162000,-84.456890,513.000000,298550.000000,133039.000000,33604.000000,200434440.000000,4155432.000000,America/New York
SO - 000642,Distributor,WARE-MKL1006,4/10/2018,8/3/2018,8/7/2018,8/14/2018,USD,25,Patrick Graham,12,Medline ,South,350,45,Home Fragrances,3.000000,0.050000,2465.600000,1602.64,Arlington,Arlington County,VA,Virginia,CDP,38.890390,-77.084140,571.000000,220173.000000,98441.000000,105763.000000,67318429.000000,244142.000000,America/New York
SO - 000643,Online,WARE-NMK1003,4/10/2018,8/3/2018,8/8/2018,8/14/2018,USD,17,Frank Brown,47,Niconovum Corp,Northeast,127,26,Candles,6.000000,0.100000,1005.000000,462.30,Miami Gardens,Miami-Dade County,FL,Florida,City,25.942040,-80.245600,305.000000,113187.000000,31003.000000,38253.000000,47236363.000000,2016214.000000,America/New York
SO - 000644,In-Store,WARE-UHY1004,4/10/2018,8/4/2018,8/17/2018,8/21/2018,USD,1,Adam Hernandez,13,Ole Group,Northeast,252,17,Furniture Cushions,2.000000,0.100000,1246.200000,1021.88,Las Vegas,Clark County,NV,Nevada,City,36.174970,-115.137220,702.000000,623747.000000,215614.000000,50202.000000,348034258.000000,133982.000000,America/Los Angeles
SO - 000645,In-Store,WARE-PUJ1005,4/10/2018,8/4/2018,8/27/2018,9/2/2018,USD,11,Joshua Little,13,Ole Group,South,291,5,Bathroom Furniture,6.000000,0.300000,1025.100000,809.83,Portland,Clackamas County/Multnomah County/Washington County,OR,Oregon,City,45.536950,-122.649970,503.000000,632309.000000,254167.000000,55003.000000,345657944.000000,30147582.000000,America/Los Angeles
SO - 000646,In-Store,WARE-XYS1001,4/10/2018,8/4/2018,8/16/2018,8/19/2018,USD,7,Shawn Cook,36,O.E. Ltd,Midwest,14,28,Phones,1.000000,0.200000,1902.800000,1084.60,Tempe,Maricopa County,AZ,Arizona,City,33.414770,-111.909310,480.000000,175826.000000,64810.000000,49012.000000,103510700.000000,674096.000000,America/Phoenix
SO - 000647,Distributor,WARE-PUJ1005,4/10/2018,8/4/2018,8/28/2018,9/5/2018,USD,21,Samuel Fowler,34,OUR Ltd,Midwest,292,19,Vanities,2.000000,0.050000,3738.600000,2056.23,Salem,Marion County/Polk County,OR,Oregon,City,44.923710,-123.023190,503.000000,164549.000000,57729.000000,47191.000000,125786966.000000,1433926.000000,America/Los Angeles
SO - 000648,In-Store,WARE-NMK1003,4/10/2018,8/4/2018,8/15/2018,8/21/2018,USD,11,Joshua Little,39,Victory Ltd,South,178,46,Sculptures,6.000000,0.075000,1996.600000,1237.89,Wheeling (Township),Cook County,IL,Illinois,Township,42.109870,-87.944580,847.000000,155286.000000,59425.000000,73977.000000,92979678.000000,317743.000000,America/Chicago
SO - 000649,In-Store,WARE-NBV1002,4/10/2018,8/4/2018,8/6/2018,8/13/2018,USD,10,Jonathan Hawkins,38,Ascend Ltd,West,76,9,Baseball,3.000000,0.150000,2331.600000,1818.65,Santa Clarita,Los Angeles County,CA,California,City,34.391660,-118.542590,661.000000,182371.000000,59247.000000,83554.000000,136645644.000000,131952.000000,America/Los Angeles
SO - 000650,In-Store,WARE-UHY1004,4/10/2018,8/4/2018,8/16/2018,8/24/2018,USD,11,Joshua Little,16,"3LAB, Ltd",South,221,41,Collectibles,6.000000,0.100000,1078.700000,701.16,St. Paul,Ramsey County,MN,Minnesota,City,44.944410,-93.093270,651.000000,300851.000000,112988.000000,48757.000000,134612878.000000,10884750.000000,America/Chicago
